location,date,vaccine,total_vaccinations
Argentina,2021-04-02,Pfizer/BioNTech,3
Argentina,2021-04-02,Sinopharm/Beijing,826378
Argentina,2021-04-02,Sputnik V,2993042
Argentina,2021-04-03,CanSino,3
Argentina,2021-04-03,Moderna,2
Argentina,2021-04-03,Oxford/AstraZeneca,660353
Argentina,2021-04-03,Pfizer/BioNTech,3
Argentina,2021-04-03,Sinopharm/Beijing,827479
Argentina,2021-04-03,Sputnik V,3047780
Argentina,2021-04-04,CanSino,3
Argentina,2021-04-04,Moderna,3
Argentina,2021-04-04,Oxford/AstraZeneca,674738
Argentina,2021-04-04,Pfizer/BioNTech,3
Argentina,2021-04-04,Sinopharm/Beijing,829137
Argentina,2021-04-04,Sputnik V,3080203
Argentina,2021-04-05,CanSino,3
Argentina,2021-04-05,Moderna,3
Argentina,2021-04-05,Oxford/AstraZeneca,708552
Argentina,2021-04-05,Pfizer/BioNTech,3
Argentina,2021-04-05,Sinopharm/Beijing,858254
Argentina,2021-04-05,Sputnik V,3183219
Argentina,2021-04-06,CanSino,3
Argentina,2021-04-06,Moderna,3
Argentina,2021-04-06,Oxford/AstraZeneca,734983
Argentina,2021-04-06,Pfizer/BioNTech,3
Argentina,2021-04-06,Sinopharm/Beijing,933381
Argentina,2021-04-06,Sputnik V,3275593
Argentina,2021-04-07,CanSino,3
Argentina,2021-04-07,Moderna,3
Argentina,2021-04-07,Oxford/AstraZeneca,765199
Argentina,2021-04-07,Pfizer/BioNTech,3
Argentina,2021-04-07,Sinopharm/Beijing,1051659
Argentina,2021-04-07,Sputnik V,3365388
Argentina,2021-04-08,CanSino,3
Argentina,2021-04-08,Moderna,3
Argentina,2021-04-08,Oxford/AstraZeneca,789274
Argentina,2021-04-08,Pfizer/BioNTech,4
Argentina,2021-04-08,Sinopharm/Beijing,1181892
Argentina,2021-04-08,Sputnik V,3446937
Argentina,2021-04-09,CanSino,3
Argentina,2021-04-09,Moderna,3
Argentina,2021-04-09,Oxford/AstraZeneca,807604
Argentina,2021-04-09,Pfizer/BioNTech,4
Argentina,2021-04-09,Sinopharm/Beijing,1329429
Argentina,2021-04-09,Sputnik V,3521408
Argentina,2021-04-10,CanSino,3
Argentina,2021-04-10,Moderna,3
Argentina,2021-04-10,Oxford/AstraZeneca,812416
Argentina,2021-04-10,Pfizer/BioNTech,4
Argentina,2021-04-10,Sinopharm/Beijing,1383409
Argentina,2021-04-10,Sputnik V,3555536
Argentina,2021-04-11,CanSino,3
Argentina,2021-04-11,Moderna,3
Argentina,2021-04-11,Oxford/AstraZeneca,813282
Argentina,2021-04-11,Pfizer/BioNTech,4
Argentina,2021-04-11,Sinopharm/Beijing,1416259
Argentina,2021-04-11,Sputnik V,3570124
Argentina,2021-04-12,CanSino,3
Argentina,2021-04-12,Moderna,3
Argentina,2021-04-12,Oxford/AstraZeneca,823168
Argentina,2021-04-12,Pfizer/BioNTech,4
Argentina,2021-04-12,Sinopharm/Beijing,1511586
Argentina,2021-04-12,Sputnik V,3646678
Argentina,2021-04-13,CanSino,3
Argentina,2021-04-13,Moderna,4
Argentina,2021-04-13,Oxford/AstraZeneca,831496
Argentina,2021-04-13,Pfizer/BioNTech,4
Argentina,2021-04-13,Sinopharm/Beijing,1593993
Argentina,2021-04-13,Sputnik V,3741911
Argentina,2021-04-14,CanSino,3
Argentina,2021-04-14,Moderna,4
Argentina,2021-04-14,Oxford/AstraZeneca,837923
Argentina,2021-04-14,Pfizer/BioNTech,4
Argentina,2021-04-14,Sinopharm/Beijing,1661322
Argentina,2021-04-14,Sputnik V,3839758
Argentina,2021-04-15,CanSino,3
Argentina,2021-04-15,Moderna,4
Argentina,2021-04-15,Oxford/AstraZeneca,842102
Argentina,2021-04-15,Pfizer/BioNTech,4
Argentina,2021-04-15,Sinopharm/Beijing,1712459
Argentina,2021-04-15,Sputnik V,3935457
Argentina,2021-04-16,CanSino,3
Argentina,2021-04-16,Moderna,4
Argentina,2021-04-16,Oxford/AstraZeneca,845384
Argentina,2021-04-16,Pfizer/BioNTech,4
Argentina,2021-04-16,Sinopharm/Beijing,1758532
Argentina,2021-04-16,Sputnik V,4009760
Argentina,2021-04-17,CanSino,3
Argentina,2021-04-17,Moderna,4
Argentina,2021-04-17,Oxford/AstraZeneca,846269
Argentina,2021-04-17,Pfizer/BioNTech,4
Argentina,2021-04-17,Sinopharm/Beijing,1774636
Argentina,2021-04-17,Sputnik V,4038468
Argentina,2021-04-18,CanSino,3
Argentina,2021-04-18,Moderna,4
Argentina,2021-04-18,Oxford/AstraZeneca,847545
Argentina,2021-04-18,Pfizer/BioNTech,4
Argentina,2021-04-18,Sinopharm/Beijing,1776897
Argentina,2021-04-18,Sputnik V,4054832
Argentina,2021-04-19,CanSino,3
